QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
27,Motorcycles,S32_2206,3/3/2003 0:00
31,Motorcycles,S32_2206,5/8/2003 0:00
33,Motorcycles,S32_2206,7/2/2003 0:00
31,Motorcycles,S32_2206,8/25/2003 0:00
35,Motorcycles,S32_2206,10/10/2003 0:00
26,Motorcycles,S32_2206,11/4/2003 0:00
34,Motorcycles,S32_2206,11/11/2003 0:00
46,Motorcycles,S32_2206,11/19/2003 0:00
41,Motorcycles,S32_2206,1/15/2004 0:00
43,Motorcycles,S32_2206,2/21/2004 0:00
26,Motorcycles,S32_2206,4/5/2004 0:00
36,Motorcycles,S32_2206,5/26/2004 0:00
20,Motorcycles,S32_2206,6/30/2004 0:00
27,Motorcycles,S32_2206,8/2/2004 0:00
37,Motorcycles,S32_2206,8/27/2004 0:00
24,Motorcycles,S32_2206,9/30/2004 0:00
36,Motorcycles,S32_2206,10/16/2004 0:00
29,Motorcycles,S32_2206,11/3/2004 0:00
28,Motorcycles,S32_2206,11/17/2004 0:00
29,Motorcycles,S32_2206,11/24/2004 0:00
38,Motorcycles,S32_2206,12/7/2004 0:00
48,Motorcycles,S32_2206,1/6/2005 0:00
40,Motorcycles,S32_2206,2/10/2005 0:00
41,Motorcycles,S32_2206,3/4/2005 0:00
30,Motorcycles,S32_2206,4/8/2005 0:00
