QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
41,Vintage Cars,S18_4522,2/11/2003 0:00,150
23,Vintage Cars,S18_4522,4/16/2003 0:00,109
43,Vintage Cars,S18_4522,6/6/2003 0:00,86
24,Vintage Cars,S18_4522,8/8/2003 0:00,43
22,Vintage Cars,S18_4522,9/28/2003 0:00,51
26,Vintage Cars,S18_4522,10/21/2003 0:00,29
35,Vintage Cars,S18_4522,11/7/2003 0:00,42
47,Vintage Cars,S18_4522,11/14/2003 0:00,68
50,Vintage Cars,S18_4522,11/26/2003 0:00,79
45,Vintage Cars,S18_4522,1/2/2004 0:00,83
39,Vintage Cars,S18_4522,2/18/2004 0:00,77
23,Vintage Cars,S18_4522,3/20/2004 0:00,38
42,Vintage Cars,S18_4522,5/7/2004 0:00,69
20,Vintage Cars,S18_4522,6/17/2004 0:00,27
33,Vintage Cars,S18_4522,7/21/2004 0:00,42
34,Vintage Cars,S18_4522,8/20/2004 0:00,58
49,Vintage Cars,S18_4522,9/9/2004 0:00,74
39,Vintage Cars,S18_4522,10/14/2004 0:00,66
36,Vintage Cars,S18_4522,10/29/2004 0:00,74
50,Vintage Cars,S18_4522,11/9/2004 0:00,106
29,Vintage Cars,S18_4522,11/21/2004 0:00,56
30,Vintage Cars,S18_4522,12/2/2004 0:00,61
41,Vintage Cars,S18_4522,1/26/2005 0:00,81
28,Vintage Cars,S18_4522,2/22/2005 0:00,40
45,Vintage Cars,S18_4522,3/23/2005 0:00,62
16,Vintage Cars,S18_4522,5/6/2005 0:00,17
