QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
25,Vintage Cars,S24_4258,1/29/2003 0:00
26,Vintage Cars,S24_4258,3/25/2003 0:00
34,Vintage Cars,S24_4258,5/28/2003 0:00
29,Vintage Cars,S24_4258,7/16/2003 0:00
20,Vintage Cars,S24_4258,9/12/2003 0:00
42,Vintage Cars,S24_4258,10/20/2003 0:00
22,Vintage Cars,S24_4258,11/5/2003 0:00
47,Vintage Cars,S24_4258,11/13/2003 0:00
20,Vintage Cars,S24_4258,11/21/2003 0:00
33,Vintage Cars,S24_4258,12/5/2003 0:00
39,Vintage Cars,S24_4258,1/29/2004 0:00
33,Vintage Cars,S24_4258,3/10/2004 0:00
40,Vintage Cars,S24_4258,4/29/2004 0:00
46,Vintage Cars,S24_4258,6/14/2004 0:00
48,Vintage Cars,S24_4258,7/16/2004 0:00
21,Vintage Cars,S24_4258,8/17/2004 0:00
45,Vintage Cars,S24_4258,9/7/2004 0:00
33,Vintage Cars,S24_4258,10/11/2004 0:00
44,Vintage Cars,S24_4258,10/21/2004 0:00
33,Vintage Cars,S24_4258,11/5/2004 0:00
39,Vintage Cars,S24_4258,11/18/2004 0:00
39,Vintage Cars,S24_4258,11/1/2004 0:00
41,Vintage Cars,S24_4258,12/10/2004 0:00
40,Vintage Cars,S24_4258,1/20/2005 0:00
33,Vintage Cars,S24_4258,2/17/2005 0:00
28,Vintage Cars,S24_4258,5/30/2005 0:00
