QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
41,Classic Cars,S12_1108,2/11/2003 0:00
33,Classic Cars,S12_1108,4/16/2003 0:00
46,Classic Cars,S12_1108,6/3/2003 0:00
33,Classic Cars,S12_1108,8/8/2003 0:00
20,Classic Cars,S12_1108,9/28/2003 0:00
44,Classic Cars,S12_1108,10/22/2003 0:00
33,Classic Cars,S12_1108,11/6/2003 0:00
21,Classic Cars,S12_1108,11/14/2003 0:00
47,Classic Cars,S12_1108,11/26/2003 0:00
46,Classic Cars,S12_1108,1/2/2004 0:00
32,Classic Cars,S12_1108,2/12/2004 0:00
42,Classic Cars,S12_1108,3/19/2004 0:00
44,Classic Cars,S12_1108,5/5/2004 0:00
35,Classic Cars,S12_1108,7/20/2004 0:00
41,Classic Cars,S12_1108,8/20/2004 0:00
46,Classic Cars,S12_1108,9/9/2004 0:00
31,Classic Cars,S12_1108,10/14/2004 0:00
38,Classic Cars,S12_1108,10/22/2004 0:00
42,Classic Cars,S12_1108,11/5/2004 0:00
33,Classic Cars,S12_1108,11/20/2004 0:00
48,Classic Cars,S12_1108,11/1/2004 0:00
42,Classic Cars,S12_1108,12/15/2004 0:00
32,Classic Cars,S12_1108,1/23/2005 0:00
34,Classic Cars,S12_1108,2/17/2005 0:00
33,Classic Cars,S12_1108,3/17/2005 0:00
36,Classic Cars,S12_1108,5/5/2005 0:00
