QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
26,Classic Cars,S18_3278,3/3/2003 0:00
21,Classic Cars,S18_3278,5/8/2003 0:00
45,Classic Cars,S18_3278,7/2/2003 0:00
36,Classic Cars,S18_3278,9/5/2003 0:00
21,Classic Cars,S18_3278,10/10/2003 0:00
32,Classic Cars,S18_3278,11/4/2003 0:00
30,Classic Cars,S18_3278,11/12/2003 0:00
36,Classic Cars,S18_3278,11/20/2003 0:00
33,Classic Cars,S18_3278,12/2/2003 0:00
35,Classic Cars,S18_3278,1/15/2004 0:00
37,Classic Cars,S18_3278,2/22/2004 0:00
41,Classic Cars,S18_3278,4/9/2004 0:00
20,Classic Cars,S18_3278,5/26/2004 0:00
45,Classic Cars,S18_3278,7/2/2004 0:00
38,Classic Cars,S18_3278,8/2/2004 0:00
43,Classic Cars,S18_3278,8/30/2004 0:00
49,Classic Cars,S18_3278,10/4/2003 0:00
27,Classic Cars,S18_3278,10/16/2004 0:00
46,Classic Cars,S18_3278,11/3/2004 0:00
38,Classic Cars,S18_3278,11/15/2004 0:00
25,Classic Cars,S18_3278,11/24/2004 0:00
46,Classic Cars,S18_3278,1/6/2005 0:00
22,Classic Cars,S18_3278,2/10/2005 0:00
40,Classic Cars,S18_3278,3/4/2005 0:00
