QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
42,Classic Cars,S10_4962,1/29/2003 0:00
31,Classic Cars,S10_4962,4/1/2003 0:00
22,Classic Cars,S10_4962,5/28/2003 0:00
26,Classic Cars,S10_4962,7/24/2003 0:00
20,Classic Cars,S10_4962,9/19/2003 0:00
21,Classic Cars,S10_4962,10/21/2003 0:00
33,Classic Cars,S10_4962,11/6/2003 0:00
28,Classic Cars,S10_4962,11/13/2003 0:00
26,Classic Cars,S10_4962,11/25/2003 0:00
31,Classic Cars,S10_4962,12/9/2003 0:00
48,Classic Cars,S10_4962,2/4/2004 0:00
50,Classic Cars,S10_4962,3/11/2004 0:00
28,Classic Cars,S10_4962,5/4/2004 0:00
26,Classic Cars,S10_4962,6/15/2004 0:00
32,Classic Cars,S10_4962,7/19/2004 0:00
44,Classic Cars,S10_4962,8/19/2004 0:00
30,Classic Cars,S10_4962,9/8/2004 0:00
38,Classic Cars,S10_4962,10/13/2004 0:00
40,Classic Cars,S10_4962,10/22/2004 0:00
46,Classic Cars,S10_4962,11/4/2004 0:00
26,Classic Cars,S10_4962,11/19/2004 0:00
27,Classic Cars,S10_4962,11/29/2004 0:00
43,Classic Cars,S10_4962,12/10/2004 0:00
35,Classic Cars,S10_4962,1/20/2005 0:00
37,Classic Cars,S10_4962,2/17/2005 0:00
37,Classic Cars,S10_4962,3/9/2005 0:00
27,Classic Cars,S10_4962,5/1/2005 0:00
38,Classic Cars,S10_4962,5/31/2005 0:00
