QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
36,Classic Cars,S12_4675,3/3/2003 0:00,150
20,Classic Cars,S12_4675,5/8/2003 0:00,114
29,Classic Cars,S12_4675,7/2/2003 0:00,94
33,Classic Cars,S12_4675,9/5/2003 0:00,65
50,Classic Cars,S12_4675,10/11/2003 0:00,87
41,Classic Cars,S12_4675,11/4/2003 0:00,80
36,Classic Cars,S12_4675,11/12/2003 0:00,39
27,Classic Cars,S12_4675,11/20/2003 0:00,43
47,Classic Cars,S12_4675,12/2/2003 0:00,70
33,Classic Cars,S12_4675,1/16/2004 0:00,67
21,Classic Cars,S12_4675,2/22/2004 0:00,34
21,Classic Cars,S12_4675,4/12/2004 0:00,35
41,Classic Cars,S12_4675,6/1/2004 0:00,72
40,Classic Cars,S12_4675,7/6/2004 0:00,90
28,Classic Cars,S12_4675,8/4/2004 0:00,50
23,Classic Cars,S12_4675,8/30/2004 0:00,55
23,Classic Cars,S12_4675,10/4/2003 0:00,32
25,Classic Cars,S12_4675,10/16/2004 0:00,38
24,Classic Cars,S12_4675,11/4/2004 0:00,46
39,Classic Cars,S12_4675,11/15/2004 0:00,75
55,Classic Cars,S12_4675,11/24/2004 0:00,95
46,Classic Cars,S12_4675,1/6/2005 0:00,100
50,Classic Cars,S12_4675,2/9/2005 0:00,54
47,Classic Cars,S12_4675,3/3/2005 0:00,63
97,Classic Cars,S12_4675,4/14/2005 0:00,129
32,Classic Cars,S12_4675,5/17/2005 0:00,69
