QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
46,Classic Cars,S24_2887,3/18/2003 0:00
25,Classic Cars,S24_2887,5/21/2003 0:00
34,Classic Cars,S24_2887,9/11/2003 0:00
25,Classic Cars,S24_2887,10/17/2003 0:00
23,Classic Cars,S24_2887,11/5/2003 0:00
20,Classic Cars,S24_2887,11/12/2003 0:00
23,Classic Cars,S24_2887,11/20/2003 0:00
42,Classic Cars,S24_2887,12/2/2003 0:00
27,Classic Cars,S24_2887,1/22/2004 0:00
33,Classic Cars,S24_2887,3/2/2004 0:00
28,Classic Cars,S24_2887,4/13/2004 0:00
43,Classic Cars,S24_2887,7/7/2004 0:00
48,Classic Cars,S24_2887,8/9/2004 0:00
48,Classic Cars,S24_2887,9/1/2004 0:00
45,Classic Cars,S24_2887,10/6/2003 0:00
43,Classic Cars,S24_2887,10/16/2004 0:00
44,Classic Cars,S24_2887,11/17/2004 0:00
24,Classic Cars,S24_2887,11/29/2004 0:00
31,Classic Cars,S24_2887,1/19/2005 0:00
44,Classic Cars,S24_2887,2/16/2005 0:00
59,Classic Cars,S24_2887,4/22/2005 0:00
55,Classic Cars,S24_2887,5/29/2005 0:00
