QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
42,Classic Cars,S700_2824,1/29/2003 0:00
42,Classic Cars,S700_2824,4/1/2003 0:00
45,Classic Cars,S700_2824,5/28/2003 0:00
36,Classic Cars,S700_2824,7/24/2003 0:00
20,Classic Cars,S700_2824,9/19/2003 0:00
39,Classic Cars,S700_2824,10/21/2003 0:00
42,Classic Cars,S700_2824,11/6/2003 0:00
23,Classic Cars,S700_2824,11/13/2003 0:00
26,Classic Cars,S700_2824,11/25/2003 0:00
33,Classic Cars,S700_2824,12/5/2003 0:00
31,Classic Cars,S700_2824,2/4/2004 0:00
50,Classic Cars,S700_2824,3/11/2004 0:00
44,Classic Cars,S700_2824,5/4/2004 0:00
45,Classic Cars,S700_2824,6/15/2004 0:00
46,Classic Cars,S700_2824,7/19/2004 0:00
27,Classic Cars,S700_2824,8/19/2004 0:00
28,Classic Cars,S700_2824,9/8/2004 0:00
40,Classic Cars,S700_2824,10/11/2004 0:00
30,Classic Cars,S700_2824,10/22/2004 0:00
34,Classic Cars,S700_2824,11/5/2004 0:00
46,Classic Cars,S700_2824,11/20/2004 0:00
32,Classic Cars,S700_2824,11/1/2004 0:00
27,Classic Cars,S700_2824,12/10/2004 0:00
34,Classic Cars,S700_2824,1/23/2005 0:00
34,Classic Cars,S700_2824,2/17/2005 0:00
34,Classic Cars,S700_2824,5/1/2005 0:00
46,Classic Cars,S700_2824,5/31/2005 0:00
