QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
46,Vintage Cars,S24_2022,1/9/2003 0:00
39,Vintage Cars,S24_2022,3/18/2003 0:00
22,Vintage Cars,S24_2022,5/21/2003 0:00
49,Vintage Cars,S24_2022,9/12/2003 0:00
43,Vintage Cars,S24_2022,10/18/2003 0:00
27,Vintage Cars,S24_2022,11/5/2003 0:00
31,Vintage Cars,S24_2022,11/12/2003 0:00
20,Vintage Cars,S24_2022,11/21/2003 0:00
24,Vintage Cars,S24_2022,12/3/2003 0:00
49,Vintage Cars,S24_2022,1/26/2004 0:00
24,Vintage Cars,S24_2022,3/2/2004 0:00
39,Vintage Cars,S24_2022,4/29/2004 0:00
37,Vintage Cars,S24_2022,6/4/2004 0:00
45,Vintage Cars,S24_2022,8/17/2004 0:00
45,Vintage Cars,S24_2022,9/3/2004 0:00
44,Vintage Cars,S24_2022,10/11/2004 0:00
23,Vintage Cars,S24_2022,10/21/2004 0:00
30,Vintage Cars,S24_2022,11/4/2004 0:00
26,Vintage Cars,S24_2022,11/17/2004 0:00
43,Vintage Cars,S24_2022,11/25/2004 0:00
26,Vintage Cars,S24_2022,12/9/2004 0:00
28,Vintage Cars,S24_2022,1/12/2005 0:00
27,Vintage Cars,S24_2022,2/16/2005 0:00
24,Vintage Cars,S24_2022,3/9/2005 0:00
40,Vintage Cars,S24_2022,5/29/2005 0:00
