QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
39,Ships,S700_3505,2/11/2003 0:00
36,Ships,S700_3505,4/21/2003 0:00
42,Ships,S700_3505,6/12/2003 0:00
21,Ships,S700_3505,8/8/2003 0:00
50,Ships,S700_3505,9/28/2003 0:00
24,Ships,S700_3505,10/23/2003 0:00
44,Ships,S700_3505,11/7/2003 0:00
37,Ships,S700_3505,11/14/2003 0:00
27,Ships,S700_3505,11/26/2003 0:00
37,Ships,S700_3505,1/2/2004 0:00
38,Ships,S700_3505,2/19/2004 0:00
48,Ships,S700_3505,3/20/2004 0:00
30,Ships,S700_3505,5/7/2004 0:00
25,Ships,S700_3505,6/17/2004 0:00
40,Ships,S700_3505,7/21/2004 0:00
22,Ships,S700_3505,8/20/2004 0:00
34,Ships,S700_3505,9/10/2004 0:00
32,Ships,S700_3505,10/14/2004 0:00
31,Ships,S700_3505,10/29/2004 0:00
43,Ships,S700_3505,11/10/2004 0:00
31,Ships,S700_3505,11/21/2004 0:00
31,Ships,S700_3505,12/2/2004 0:00
34,Ships,S700_3505,1/31/2005 0:00
45,Ships,S700_3505,3/1/2005 0:00
48,Ships,S700_3505,3/28/2005 0:00
28,Ships,S700_3505,5/6/2005 0:00
