QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
38,Trains,S18_3259,2/11/2003 0:00
21,Trains,S18_3259,4/16/2003 0:00
41,Trains,S18_3259,6/6/2003 0:00
22,Trains,S18_3259,8/8/2003 0:00
29,Trains,S18_3259,9/28/2003 0:00
50,Trains,S18_3259,10/22/2003 0:00
29,Trains,S18_3259,11/7/2003 0:00
49,Trains,S18_3259,11/14/2003 0:00
35,Trains,S18_3259,11/26/2003 0:00
48,Trains,S18_3259,1/2/2004 0:00
23,Trains,S18_3259,2/18/2004 0:00
48,Trains,S18_3259,3/20/2004 0:00
42,Trains,S18_3259,5/7/2004 0:00
47,Trains,S18_3259,7/21/2004 0:00
36,Trains,S18_3259,8/20/2004 0:00
22,Trains,S18_3259,9/9/2004 0:00
40,Trains,S18_3259,10/14/2004 0:00
23,Trains,S18_3259,10/22/2004 0:00
32,Trains,S18_3259,11/9/2004 0:00
21,Trains,S18_3259,11/20/2004 0:00
41,Trains,S18_3259,12/2/2004 0:00
25,Trains,S18_3259,1/26/2005 0:00
26,Trains,S18_3259,2/22/2005 0:00
24,Trains,S18_3259,3/23/2005 0:00
48,Trains,S18_3259,5/6/2005 0:00
