QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
42,Classic Cars,S18_4933,3/18/2003 0:00
23,Classic Cars,S18_4933,5/21/2003 0:00
29,Classic Cars,S18_4933,9/11/2003 0:00
25,Classic Cars,S18_4933,10/17/2003 0:00
39,Classic Cars,S18_4933,11/5/2003 0:00
44,Classic Cars,S18_4933,11/12/2003 0:00
25,Classic Cars,S18_4933,11/21/2003 0:00
45,Classic Cars,S18_4933,12/2/2003 0:00
25,Classic Cars,S18_4933,1/22/2004 0:00
37,Classic Cars,S18_4933,3/2/2004 0:00
30,Classic Cars,S18_4933,4/13/2004 0:00
36,Classic Cars,S18_4933,7/7/2004 0:00
26,Classic Cars,S18_4933,8/9/2004 0:00
23,Classic Cars,S18_4933,9/1/2004 0:00
23,Classic Cars,S18_4933,10/6/2003 0:00
25,Classic Cars,S18_4933,10/16/2004 0:00
21,Classic Cars,S18_4933,11/17/2004 0:00
26,Classic Cars,S18_4933,11/25/2004 0:00
44,Classic Cars,S18_4933,1/12/2005 0:00
24,Classic Cars,S18_4933,2/16/2005 0:00
66,Classic Cars,S18_4933,4/22/2005 0:00
36,Classic Cars,S18_4933,5/29/2005 0:00
