QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
29,Trucks and Buses,S18_2319,1/31/2003 0:00
39,Trucks and Buses,S18_2319,4/1/2003 0:00
45,Trucks and Buses,S18_2319,6/3/2003 0:00
47,Trucks and Buses,S18_2319,8/1/2003 0:00
49,Trucks and Buses,S18_2319,9/21/2003 0:00
46,Trucks and Buses,S18_2319,10/22/2003 0:00
48,Trucks and Buses,S18_2319,11/6/2003 0:00
46,Trucks and Buses,S18_2319,11/14/2003 0:00
35,Trucks and Buses,S18_2319,11/25/2003 0:00
43,Trucks and Buses,S18_2319,12/9/2003 0:00
26,Trucks and Buses,S18_2319,3/11/2004 0:00
22,Trucks and Buses,S18_2319,5/5/2004 0:00
34,Trucks and Buses,S18_2319,6/15/2004 0:00
50,Trucks and Buses,S18_2319,7/20/2004 0:00
48,Trucks and Buses,S18_2319,8/19/2004 0:00
41,Trucks and Buses,S18_2319,9/8/2004 0:00
36,Trucks and Buses,S18_2319,10/13/2004 0:00
29,Trucks and Buses,S18_2319,10/22/2004 0:00
33,Trucks and Buses,S18_2319,11/5/2004 0:00
46,Trucks and Buses,S18_2319,11/19/2004 0:00
38,Trucks and Buses,S18_2319,12/1/2004 0:00
20,Trucks and Buses,S18_2319,12/10/2004 0:00
22,Trucks and Buses,S18_2319,1/20/2005 0:00
27,Trucks and Buses,S18_2319,2/22/2005 0:00
56,Trucks and Buses,S18_2319,5/3/2005 0:00
38,Trucks and Buses,S18_2319,5/31/2005 0:00
