QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
38,Classic Cars,S18_4027,1/31/2003 0:00
22,Classic Cars,S18_4027,4/16/2003 0:00
25,Classic Cars,S18_4027,6/3/2003 0:00
24,Classic Cars,S18_4027,8/8/2003 0:00
35,Classic Cars,S18_4027,9/25/2003 0:00
28,Classic Cars,S18_4027,10/22/2003 0:00
36,Classic Cars,S18_4027,11/6/2003 0:00
39,Classic Cars,S18_4027,11/14/2003 0:00
27,Classic Cars,S18_4027,11/26/2003 0:00
40,Classic Cars,S18_4027,12/9/2003 0:00
50,Classic Cars,S18_4027,2/12/2004 0:00
42,Classic Cars,S18_4027,3/15/2004 0:00
48,Classic Cars,S18_4027,5/5/2004 0:00
25,Classic Cars,S18_4027,7/20/2004 0:00
31,Classic Cars,S18_4027,8/20/2004 0:00
44,Classic Cars,S18_4027,9/8/2004 0:00
23,Classic Cars,S18_4027,10/14/2004 0:00
29,Classic Cars,S18_4027,10/22/2004 0:00
49,Classic Cars,S18_4027,11/5/2004 0:00
36,Classic Cars,S18_4027,11/21/2004 0:00
34,Classic Cars,S18_4027,12/1/2004 0:00
25,Classic Cars,S18_4027,12/10/2004 0:00
48,Classic Cars,S18_4027,1/26/2005 0:00
38,Classic Cars,S18_4027,2/22/2005 0:00
37,Classic Cars,S18_4027,3/15/2005 0:00
49,Classic Cars,S18_4027,5/5/2005 0:00
