QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
29,Classic Cars,S12_3891,2/11/2003 0:00
39,Classic Cars,S12_3891,4/16/2003 0:00
42,Classic Cars,S12_3891,6/3/2003 0:00
46,Classic Cars,S12_3891,8/8/2003 0:00
49,Classic Cars,S12_3891,9/28/2003 0:00
27,Classic Cars,S12_3891,10/22/2003 0:00
50,Classic Cars,S12_3891,11/6/2003 0:00
43,Classic Cars,S12_3891,11/14/2003 0:00
38,Classic Cars,S12_3891,11/26/2003 0:00
20,Classic Cars,S12_3891,1/2/2004 0:00
27,Classic Cars,S12_3891,2/12/2004 0:00
49,Classic Cars,S12_3891,3/19/2004 0:00
27,Classic Cars,S12_3891,5/5/2004 0:00
39,Classic Cars,S12_3891,7/20/2004 0:00
24,Classic Cars,S12_3891,8/20/2004 0:00
45,Classic Cars,S12_3891,9/9/2004 0:00
20,Classic Cars,S12_3891,10/14/2004 0:00
36,Classic Cars,S12_3891,10/22/2004 0:00
24,Classic Cars,S12_3891,11/5/2004 0:00
49,Classic Cars,S12_3891,11/20/2004 0:00
26,Classic Cars,S12_3891,12/1/2004 0:00
49,Classic Cars,S12_3891,12/15/2004 0:00
34,Classic Cars,S12_3891,1/26/2005 0:00
34,Classic Cars,S12_3891,2/17/2005 0:00
33,Classic Cars,S12_3891,3/23/2005 0:00
22,Classic Cars,S12_3891,5/5/2005 0:00
