QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
36,Classic Cars,S24_1046,3/18/2003 0:00,150
22,Classic Cars,S24_1046,5/21/2003 0:00,114
25,Classic Cars,S24_1046,9/11/2003 0:00,92
37,Classic Cars,S24_1046,10/17/2003 0:00,67
32,Classic Cars,S24_1046,11/5/2003 0:00,63
47,Classic Cars,S24_1046,11/12/2003 0:00,94
37,Classic Cars,S24_1046,11/20/2003 0:00,47
20,Classic Cars,S24_1046,12/2/2003 0:00,30
41,Classic Cars,S24_1046,1/16/2004 0:00,65
21,Classic Cars,S24_1046,2/26/2004 0:00,24
22,Classic Cars,S24_1046,4/13/2004 0:00,30
40,Classic Cars,S24_1046,7/7/2004 0:00,65
32,Classic Cars,S24_1046,8/9/2004 0:00,68
36,Classic Cars,S24_1046,9/1/2004 0:00,88
27,Classic Cars,S24_1046,10/5/2003 0:00,52
26,Classic Cars,S24_1046,10/16/2004 0:00,51
30,Classic Cars,S24_1046,11/4/2004 0:00,72
23,Classic Cars,S24_1046,11/17/2004 0:00,42
29,Classic Cars,S24_1046,11/25/2004 0:00,57
21,Classic Cars,S24_1046,1/12/2005 0:00,28
34,Classic Cars,S24_1046,2/16/2005 0:00,59
26,Classic Cars,S24_1046,4/22/2005 0:00,53
60,Classic Cars,S24_1046,5/29/2005 0:00,104
