QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
41,Ships,S700_1138,2/11/2003 0:00,150
25,Ships,S700_1138,4/28/2003 0:00,109
31,Ships,S700_1138,6/12/2003 0:00,84
41,Ships,S700_1138,8/8/2003 0:00,53
43,Ships,S700_1138,9/28/2003 0:00,66
43,Ships,S700_1138,10/23/2003 0:00,80
24,Ships,S700_1138,11/7/2003 0:00,37
21,Ships,S700_1138,11/14/2003 0:00,36
23,Ships,S700_1138,11/26/2003 0:00,44
38,Ships,S700_1138,1/2/2004 0:00,63
31,Ships,S700_1138,2/19/2004 0:00,56
36,Ships,S700_1138,3/29/2004 0:00,75
36,Ships,S700_1138,5/7/2004 0:00,39
34,Ships,S700_1138,6/17/2004 0:00,53
21,Ships,S700_1138,7/21/2004 0:00,41
45,Ships,S700_1138,8/20/2004 0:00,78
26,Ships,S700_1138,9/10/2004 0:00,33
50,Ships,S700_1138,10/14/2004 0:00,63
41,Ships,S700_1138,10/29/2004 0:00,66
39,Ships,S700_1138,11/9/2004 0:00,70
22,Ships,S700_1138,11/23/2004 0:00,31
46,Ships,S700_1138,12/2/2004 0:00,58
44,Ships,S700_1138,1/31/2005 0:00,67
25,Ships,S700_1138,2/28/2005 0:00,54
39,Ships,S700_1138,3/23/2005 0:00,83
37,Ships,S700_1138,5/6/2005 0:00,44
