QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
35,Trucks and Buses,S18_1097,1/29/2003 0:00
49,Trucks and Buses,S18_1097,3/26/2003 0:00
38,Trucks and Buses,S18_1097,5/28/2003 0:00
32,Trucks and Buses,S18_1097,7/24/2003 0:00
34,Trucks and Buses,S18_1097,9/19/2003 0:00
36,Trucks and Buses,S18_1097,10/21/2003 0:00
48,Trucks and Buses,S18_1097,11/6/2003 0:00
21,Trucks and Buses,S18_1097,11/13/2003 0:00
21,Trucks and Buses,S18_1097,11/25/2003 0:00
34,Trucks and Buses,S18_1097,12/5/2003 0:00
46,Trucks and Buses,S18_1097,1/29/2004 0:00
32,Trucks and Buses,S18_1097,3/10/2004 0:00
29,Trucks and Buses,S18_1097,5/4/2004 0:00
41,Trucks and Buses,S18_1097,6/15/2004 0:00
43,Trucks and Buses,S18_1097,7/19/2004 0:00
24,Trucks and Buses,S18_1097,8/17/2004 0:00
41,Trucks and Buses,S18_1097,9/8/2004 0:00
46,Trucks and Buses,S18_1097,10/11/2004 0:00
32,Trucks and Buses,S18_1097,10/21/2004 0:00
22,Trucks and Buses,S18_1097,11/4/2004 0:00
29,Trucks and Buses,S18_1097,11/18/2004 0:00
42,Trucks and Buses,S18_1097,11/29/2004 0:00
39,Trucks and Buses,S18_1097,12/10/2004 0:00
27,Trucks and Buses,S18_1097,1/20/2005 0:00
48,Trucks and Buses,S18_1097,2/17/2005 0:00
29,Trucks and Buses,S18_1097,3/9/2005 0:00
27,Trucks and Buses,S18_1097,5/1/2005 0:00
54,Trucks and Buses,S18_1097,5/31/2005 0:00
