QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
25,Ships,S72_3212,2/11/2003 0:00
50,Ships,S72_3212,4/16/2003 0:00
32,Ships,S72_3212,6/12/2003 0:00
39,Ships,S72_3212,8/8/2003 0:00
50,Ships,S72_3212,9/28/2003 0:00
38,Ships,S72_3212,10/23/2003 0:00
40,Ships,S72_3212,11/7/2003 0:00
28,Ships,S72_3212,11/14/2003 0:00
42,Ships,S72_3212,11/26/2003 0:00
42,Ships,S72_3212,1/2/2004 0:00
36,Ships,S72_3212,2/19/2004 0:00
24,Ships,S72_3212,3/20/2004 0:00
23,Ships,S72_3212,5/7/2004 0:00
29,Ships,S72_3212,6/17/2004 0:00
37,Ships,S72_3212,7/21/2004 0:00
33,Ships,S72_3212,8/20/2004 0:00
32,Ships,S72_3212,9/9/2004 0:00
35,Ships,S72_3212,10/14/2004 0:00
40,Ships,S72_3212,10/29/2004 0:00
37,Ships,S72_3212,11/10/2004 0:00
42,Ships,S72_3212,11/21/2004 0:00
20,Ships,S72_3212,12/2/2004 0:00
29,Ships,S72_3212,1/31/2005 0:00
43,Ships,S72_3212,3/1/2005 0:00
34,Ships,S72_3212,3/28/2005 0:00
47,Ships,S72_3212,5/6/2005 0:00
