QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
38,Classic Cars,S18_1889,3/3/2003 0:00
43,Classic Cars,S18_1889,5/8/2003 0:00
48,Classic Cars,S18_1889,7/2/2003 0:00
26,Classic Cars,S18_1889,9/5/2003 0:00
38,Classic Cars,S18_1889,10/11/2003 0:00
20,Classic Cars,S18_1889,11/4/2003 0:00
22,Classic Cars,S18_1889,11/12/2003 0:00
45,Classic Cars,S18_1889,11/20/2003 0:00
45,Classic Cars,S18_1889,12/2/2003 0:00
20,Classic Cars,S18_1889,1/16/2004 0:00
47,Classic Cars,S18_1889,2/22/2004 0:00
46,Classic Cars,S18_1889,4/12/2004 0:00
23,Classic Cars,S18_1889,6/1/2004 0:00
33,Classic Cars,S18_1889,7/6/2004 0:00
29,Classic Cars,S18_1889,8/6/2004 0:00
44,Classic Cars,S18_1889,8/30/2004 0:00
41,Classic Cars,S18_1889,10/4/2003 0:00
20,Classic Cars,S18_1889,10/16/2004 0:00
37,Classic Cars,S18_1889,11/4/2004 0:00
29,Classic Cars,S18_1889,11/15/2004 0:00
55,Classic Cars,S18_1889,11/24/2004 0:00
22,Classic Cars,S18_1889,1/6/2005 0:00
31,Classic Cars,S18_1889,2/9/2005 0:00
49,Classic Cars,S18_1889,3/3/2005 0:00
61,Classic Cars,S18_1889,4/14/2005 0:00
39,Classic Cars,S18_1889,5/17/2005 0:00
