QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
26,Vintage Cars,S18_2795,1/9/2003 0:00,150
31,Vintage Cars,S18_2795,3/18/2003 0:00,124
34,Vintage Cars,S18_2795,5/21/2003 0:00,93
41,Vintage Cars,S18_2795,7/16/2003 0:00,59
23,Vintage Cars,S18_2795,9/12/2003 0:00,47
48,Vintage Cars,S18_2795,10/18/2003 0:00,82
22,Vintage Cars,S18_2795,11/5/2003 0:00,34
21,Vintage Cars,S18_2795,11/12/2003 0:00,35
22,Vintage Cars,S18_2795,11/21/2003 0:00,47
40,Vintage Cars,S18_2795,12/3/2003 0:00,68
50,Vintage Cars,S18_2795,1/26/2004 0:00,95
29,Vintage Cars,S18_2795,3/2/2004 0:00,45
43,Vintage Cars,S18_2795,4/29/2004 0:00,67
24,Vintage Cars,S18_2795,6/4/2004 0:00,54
22,Vintage Cars,S18_2795,8/17/2004 0:00,30
43,Vintage Cars,S18_2795,9/3/2004 0:00,70
20,Vintage Cars,S18_2795,10/11/2004 0:00,27
25,Vintage Cars,S18_2795,10/21/2004 0:00,37
36,Vintage Cars,S18_2795,11/4/2004 0:00,66
24,Vintage Cars,S18_2795,11/17/2004 0:00,30
21,Vintage Cars,S18_2795,11/29/2004 0:00,45
30,Vintage Cars,S18_2795,12/9/2004 0:00,55
32,Vintage Cars,S18_2795,1/12/2005 0:00,71
21,Vintage Cars,S18_2795,2/16/2005 0:00,39
26,Vintage Cars,S18_2795,3/4/2005 0:00,46
35,Vintage Cars,S18_2795,5/29/2005 0:00,61
