QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
45,Trucks and Buses,S32_3522,1/29/2003 0:00
23,Trucks and Buses,S32_3522,3/26/2003 0:00
26,Trucks and Buses,S32_3522,5/28/2003 0:00
28,Trucks and Buses,S32_3522,7/24/2003 0:00
49,Trucks and Buses,S32_3522,9/19/2003 0:00
49,Trucks and Buses,S32_3522,10/21/2003 0:00
29,Trucks and Buses,S32_3522,11/6/2003 0:00
49,Trucks and Buses,S32_3522,11/13/2003 0:00
39,Trucks and Buses,S32_3522,11/25/2003 0:00
36,Trucks and Buses,S32_3522,12/5/2003 0:00
39,Trucks and Buses,S32_3522,2/4/2004 0:00
30,Trucks and Buses,S32_3522,3/11/2004 0:00
44,Trucks and Buses,S32_3522,5/4/2004 0:00
20,Trucks and Buses,S32_3522,6/15/2004 0:00
21,Trucks and Buses,S32_3522,7/19/2004 0:00
36,Trucks and Buses,S32_3522,8/19/2004 0:00
32,Trucks and Buses,S32_3522,9/8/2004 0:00
36,Trucks and Buses,S32_3522,10/11/2004 0:00
34,Trucks and Buses,S32_3522,10/22/2004 0:00
48,Trucks and Buses,S32_3522,11/5/2004 0:00
33,Trucks and Buses,S32_3522,11/18/2004 0:00
31,Trucks and Buses,S32_3522,11/1/2004 0:00
36,Trucks and Buses,S32_3522,12/10/2004 0:00
25,Trucks and Buses,S32_3522,1/20/2005 0:00
48,Trucks and Buses,S32_3522,2/17/2005 0:00
27,Trucks and Buses,S32_3522,5/1/2005 0:00
44,Trucks and Buses,S32_3522,5/31/2005 0:00
