QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
21,Motorcycles,S12_2823,2/24/2003 0:00
50,Motorcycles,S12_2823,5/7/2003 0:00
20,Motorcycles,S12_2823,7/1/2003 0:00
49,Motorcycles,S12_2823,8/25/2003 0:00
38,Motorcycles,S12_2823,10/10/2003 0:00
35,Motorcycles,S12_2823,11/4/2003 0:00
40,Motorcycles,S12_2823,11/11/2003 0:00
28,Motorcycles,S12_2823,11/18/2003 0:00
25,Motorcycles,S12_2823,12/1/2003 0:00
36,Motorcycles,S12_2823,1/15/2004 0:00
43,Motorcycles,S12_2823,2/21/2004 0:00
32,Motorcycles,S12_2823,4/5/2004 0:00
46,Motorcycles,S12_2823,5/18/2004 0:00
48,Motorcycles,S12_2823,6/28/2004 0:00
43,Motorcycles,S12_2823,8/2/2004 0:00
49,Motorcycles,S12_2823,8/27/2004 0:00
24,Motorcycles,S12_2823,9/30/2004 0:00
26,Motorcycles,S12_2823,10/15/2004 0:00
30,Motorcycles,S12_2823,11/3/2004 0:00
24,Motorcycles,S12_2823,11/15/2004 0:00
55,Motorcycles,S12_2823,11/24/2004 0:00
22,Motorcycles,S12_2823,1/5/2005 0:00
49,Motorcycles,S12_2823,2/3/2005 0:00
44,Motorcycles,S12_2823,3/3/2005 0:00
66,Motorcycles,S12_2823,4/8/2005 0:00
21,Motorcycles,S12_2823,5/13/2005 0:00
