QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
44,Vintage Cars,S24_3151,2/11/2003 0:00
35,Vintage Cars,S24_3151,4/28/2003 0:00
41,Vintage Cars,S24_3151,6/12/2003 0:00
49,Vintage Cars,S24_3151,8/8/2003 0:00
31,Vintage Cars,S24_3151,10/2/2003 0:00
20,Vintage Cars,S24_3151,10/23/2003 0:00
45,Vintage Cars,S24_3151,11/7/2003 0:00
33,Vintage Cars,S24_3151,11/14/2003 0:00
47,Vintage Cars,S24_3151,11/26/2003 0:00
20,Vintage Cars,S24_3151,1/2/2004 0:00
47,Vintage Cars,S24_3151,2/19/2004 0:00
40,Vintage Cars,S24_3151,3/29/2004 0:00
30,Vintage Cars,S24_3151,5/7/2004 0:00
22,Vintage Cars,S24_3151,6/17/2004 0:00
27,Vintage Cars,S24_3151,7/21/2004 0:00
34,Vintage Cars,S24_3151,8/20/2004 0:00
46,Vintage Cars,S24_3151,9/10/2004 0:00
31,Vintage Cars,S24_3151,10/14/2004 0:00
24,Vintage Cars,S24_3151,10/29/2004 0:00
41,Vintage Cars,S24_3151,11/9/2004 0:00
55,Vintage Cars,S24_3151,11/23/2004 0:00
30,Vintage Cars,S24_3151,12/2/2004 0:00
33,Vintage Cars,S24_3151,1/31/2005 0:00
43,Vintage Cars,S24_3151,2/23/2005 0:00
27,Vintage Cars,S24_3151,3/23/2005 0:00
60,Vintage Cars,S24_3151,5/6/2005 0:00
