QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
50,Vintage Cars,S24_3816,2/11/2003 0:00
35,Vintage Cars,S24_3816,4/28/2003 0:00
50,Vintage Cars,S24_3816,6/12/2003 0:00
23,Vintage Cars,S24_3816,8/10/2003 0:00
37,Vintage Cars,S24_3816,10/6/2003 0:00
29,Vintage Cars,S24_3816,10/23/2003 0:00
21,Vintage Cars,S24_3816,11/8/2003 0:00
36,Vintage Cars,S24_3816,11/14/2003 0:00
22,Vintage Cars,S24_3816,11/26/2003 0:00
22,Vintage Cars,S24_3816,1/9/2004 0:00
46,Vintage Cars,S24_3816,2/19/2004 0:00
23,Vintage Cars,S24_3816,5/7/2004 0:00
49,Vintage Cars,S24_3816,6/24/2004 0:00
48,Vintage Cars,S24_3816,7/21/2004 0:00
33,Vintage Cars,S24_3816,8/20/2004 0:00
22,Vintage Cars,S24_3816,9/15/2004 0:00
22,Vintage Cars,S24_3816,10/14/2004 0:00
25,Vintage Cars,S24_3816,11/1/2004 0:00
20,Vintage Cars,S24_3816,11/9/2004 0:00
42,Vintage Cars,S24_3816,11/23/2004 0:00
25,Vintage Cars,S24_3816,12/2/2004 0:00
23,Vintage Cars,S24_3816,1/31/2005 0:00
37,Vintage Cars,S24_3816,2/28/2005 0:00
37,Vintage Cars,S24_3816,3/23/2005 0:00
42,Vintage Cars,S24_3816,4/1/2005 0:00
51,Vintage Cars,S24_3816,5/6/2005 0:00
