QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
24,Classic Cars,S18_2238,1/31/2003 0:00,150
46,Classic Cars,S18_2238,4/4/2003 0:00,126
45,Classic Cars,S18_2238,6/3/2003 0:00,80
39,Classic Cars,S18_2238,8/1/2003 0:00,79
43,Classic Cars,S18_2238,9/21/2003 0:00,99
29,Classic Cars,S18_2238,10/22/2003 0:00,56
20,Classic Cars,S18_2238,11/6/2003 0:00,27
46,Classic Cars,S18_2238,11/14/2003 0:00,68
27,Classic Cars,S18_2238,11/25/2003 0:00,54
44,Classic Cars,S18_2238,12/9/2003 0:00,78
43,Classic Cars,S18_2238,2/10/2004 0:00,90
49,Classic Cars,S18_2238,3/15/2004 0:00,100
40,Classic Cars,S18_2238,5/5/2004 0:00,51
30,Classic Cars,S18_2238,6/15/2004 0:00,56
50,Classic Cars,S18_2238,7/20/2004 0:00,84
23,Classic Cars,S18_2238,8/20/2004 0:00,34
26,Classic Cars,S18_2238,9/8/2004 0:00,55
27,Classic Cars,S18_2238,10/13/2004 0:00,29
42,Classic Cars,S18_2238,10/22/2004 0:00,59
47,Classic Cars,S18_2238,11/5/2004 0:00,80
49,Classic Cars,S18_2238,11/20/2004 0:00,98
38,Classic Cars,S18_2238,12/1/2004 0:00,49
20,Classic Cars,S18_2238,12/10/2004 0:00,44
25,Classic Cars,S18_2238,1/23/2005 0:00,68
25,Classic Cars,S18_2238,2/17/2005 0:00,43
41,Classic Cars,S18_2238,5/3/2005 0:00,61
28,Classic Cars,S18_2238,5/31/2005 0:00,52
