QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
38,Motorcycles,S24_2000,2/24/2003 0:00
34,Motorcycles,S24_2000,4/29/2003 0:00
43,Motorcycles,S24_2000,7/1/2003 0:00
47,Motorcycles,S24_2000,8/25/2003 0:00
22,Motorcycles,S24_2000,10/10/2003 0:00
29,Motorcycles,S24_2000,10/28/2003 0:00
28,Motorcycles,S24_2000,11/11/2003 0:00
40,Motorcycles,S24_2000,11/18/2003 0:00
25,Motorcycles,S24_2000,12/1/2003 0:00
30,Motorcycles,S24_2000,1/12/2004 0:00
38,Motorcycles,S24_2000,2/20/2004 0:00
36,Motorcycles,S24_2000,4/3/2004 0:00
32,Motorcycles,S24_2000,5/11/2004 0:00
37,Motorcycles,S24_2000,6/28/2004 0:00
30,Motorcycles,S24_2000,7/23/2004 0:00
39,Motorcycles,S24_2000,8/27/2004 0:00
32,Motorcycles,S24_2000,9/16/2004 0:00
47,Motorcycles,S24_2000,10/15/2004 0:00
26,Motorcycles,S24_2000,11/2/2004 0:00
37,Motorcycles,S24_2000,11/15/2004 0:00
55,Motorcycles,S24_2000,11/24/2004 0:00
21,Motorcycles,S24_2000,1/6/2005 0:00
23,Motorcycles,S24_2000,2/3/2005 0:00
49,Motorcycles,S24_2000,3/3/2005 0:00
59,Motorcycles,S24_2000,4/7/2005 0:00
32,Motorcycles,S24_2000,5/10/2005 0:00
