QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
20,Motorcycles,S32_1374,2/24/2003 0:00,150
22,Motorcycles,S32_1374,4/29/2003 0:00,130
23,Motorcycles,S32_1374,6/27/2003 0:00,108
33,Motorcycles,S32_1374,8/25/2003 0:00,85
28,Motorcycles,S32_1374,10/28/2003 0:00,52
44,Motorcycles,S32_1374,11/18/2003 0:00,73
46,Motorcycles,S32_1374,1/12/2004 0:00,78
21,Motorcycles,S32_1374,2/20/2004 0:00,32
41,Motorcycles,S32_1374,4/2/2004 0:00,53
31,Motorcycles,S32_1374,5/11/2004 0:00,48
31,Motorcycles,S32_1374,6/28/2004 0:00,60
23,Motorcycles,S32_1374,7/23/2004 0:00,29
37,Motorcycles,S32_1374,8/27/2004 0:00,51
26,Motorcycles,S32_1374,9/16/2004 0:00,41
24,Motorcycles,S32_1374,10/15/2004 0:00,46
47,Motorcycles,S32_1374,11/2/2004 0:00,80
45,Motorcycles,S32_1374,11/15/2004 0:00,89
55,Motorcycles,S32_1374,11/24/2004 0:00,106
46,Motorcycles,S32_1374,12/4/2004 0:00,51
50,Motorcycles,S32_1374,1/6/2005 0:00,58
37,Motorcycles,S32_1374,2/3/2005 0:00,57
44,Motorcycles,S32_1374,3/2/2005 0:00,82
49,Motorcycles,S32_1374,4/3/2005 0:00,97
45,Motorcycles,S32_1374,5/10/2005 0:00,48
