QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
43,Motorcycles,S18_3782,3/3/2003 0:00
35,Motorcycles,S18_3782,5/8/2003 0:00
45,Motorcycles,S18_3782,7/2/2003 0:00
47,Motorcycles,S18_3782,9/3/2003 0:00
21,Motorcycles,S18_3782,10/10/2003 0:00
38,Motorcycles,S18_3782,11/4/2003 0:00
21,Motorcycles,S18_3782,11/11/2003 0:00
43,Motorcycles,S18_3782,11/20/2003 0:00
46,Motorcycles,S18_3782,1/15/2004 0:00
38,Motorcycles,S18_3782,2/21/2004 0:00
26,Motorcycles,S18_3782,4/5/2004 0:00
31,Motorcycles,S18_3782,5/26/2004 0:00
48,Motorcycles,S18_3782,6/30/2004 0:00
33,Motorcycles,S18_3782,8/2/2004 0:00
38,Motorcycles,S18_3782,8/28/2004 0:00
39,Motorcycles,S18_3782,9/30/2004 0:00
42,Motorcycles,S18_3782,10/16/2004 0:00
44,Motorcycles,S18_3782,11/3/2004 0:00
29,Motorcycles,S18_3782,11/16/2004 0:00
26,Motorcycles,S18_3782,11/24/2004 0:00
31,Motorcycles,S18_3782,12/7/2004 0:00
32,Motorcycles,S18_3782,1/6/2005 0:00
28,Motorcycles,S18_3782,2/10/2005 0:00
36,Motorcycles,S18_3782,3/4/2005 0:00
36,Motorcycles,S18_3782,4/8/2005 0:00
