QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
50,Vintage Cars,S18_2248,1/6/2003 0:00
32,Vintage Cars,S18_2248,3/18/2003 0:00
42,Vintage Cars,S18_2248,5/21/2003 0:00
24,Vintage Cars,S18_2248,9/12/2003 0:00
27,Vintage Cars,S18_2248,10/18/2003 0:00
26,Vintage Cars,S18_2248,11/5/2003 0:00
38,Vintage Cars,S18_2248,11/12/2003 0:00
42,Vintage Cars,S18_2248,11/21/2003 0:00
23,Vintage Cars,S18_2248,12/2/2003 0:00
21,Vintage Cars,S18_2248,1/26/2004 0:00
28,Vintage Cars,S18_2248,3/2/2004 0:00
33,Vintage Cars,S18_2248,4/13/2004 0:00
25,Vintage Cars,S18_2248,8/17/2004 0:00
28,Vintage Cars,S18_2248,9/1/2004 0:00
46,Vintage Cars,S18_2248,10/6/2004 0:00
30,Vintage Cars,S18_2248,10/21/2004 0:00
38,Vintage Cars,S18_2248,11/17/2004 0:00
40,Vintage Cars,S18_2248,11/25/2004 0:00
45,Vintage Cars,S18_2248,1/12/2005 0:00
27,Vintage Cars,S18_2248,2/10/2005 0:00
42,Vintage Cars,S18_2248,4/22/2005 0:00
36,Vintage Cars,S18_2248,5/29/2005 0:00
