QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
26,Classic Cars,S10_1949,1/29/2003 0:00
29,Classic Cars,S10_1949,3/24/2003 0:00
38,Classic Cars,S10_1949,5/28/2003 0:00
37,Classic Cars,S10_1949,7/24/2003 0:00
45,Classic Cars,S10_1949,9/19/2003 0:00
21,Classic Cars,S10_1949,10/20/2003 0:00
34,Classic Cars,S10_1949,11/6/2003 0:00
23,Classic Cars,S10_1949,11/13/2003 0:00
42,Classic Cars,S10_1949,11/25/2003 0:00
47,Classic Cars,S10_1949,12/5/2003 0:00
35,Classic Cars,S10_1949,1/29/2004 0:00
29,Classic Cars,S10_1949,3/10/2004 0:00
34,Classic Cars,S10_1949,5/4/2004 0:00
32,Classic Cars,S10_1949,6/15/2004 0:00
21,Classic Cars,S10_1949,7/19/2004 0:00
34,Classic Cars,S10_1949,8/17/2004 0:00
37,Classic Cars,S10_1949,9/8/2004 0:00
47,Classic Cars,S10_1949,10/11/2004 0:00
48,Classic Cars,S10_1949,10/21/2004 0:00
40,Classic Cars,S10_1949,11/4/2004 0:00
26,Classic Cars,S10_1949,11/18/2004 0:00
30,Classic Cars,S10_1949,11/29/2004 0:00
32,Classic Cars,S10_1949,12/10/2004 0:00
41,Classic Cars,S10_1949,1/20/2005 0:00
36,Classic Cars,S10_1949,2/17/2005 0:00
24,Classic Cars,S10_1949,3/9/2005 0:00
23,Classic Cars,S10_1949,5/1/2005 0:00
50,Classic Cars,S10_1949,5/31/2005 0:00
