QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
30,Classic Cars,S24_3371,3/3/2003 0:00,150
34,Classic Cars,S24_3371,5/8/2003 0:00,120
27,Classic Cars,S24_3371,7/2/2003 0:00,86
30,Classic Cars,S24_3371,9/5/2003 0:00,59
50,Classic Cars,S24_3371,10/10/2003 0:00,84
34,Classic Cars,S24_3371,11/4/2003 0:00,81
23,Classic Cars,S24_3371,11/12/2003 0:00,47
48,Classic Cars,S24_3371,11/20/2003 0:00,76
34,Classic Cars,S24_3371,12/2/2003 0:00,70
48,Classic Cars,S24_3371,1/15/2004 0:00,88
24,Classic Cars,S24_3371,2/22/2004 0:00,40
47,Classic Cars,S24_3371,4/9/2004 0:00,69
24,Classic Cars,S24_3371,6/1/2004 0:00,56
47,Classic Cars,S24_3371,7/6/2004 0:00,93
20,Classic Cars,S24_3371,8/2/2004 0:00,46
20,Classic Cars,S24_3371,8/30/2004 0:00,26
31,Classic Cars,S24_3371,10/4/2003 0:00,51
38,Classic Cars,S24_3371,10/16/2004 0:00,71
26,Classic Cars,S24_3371,11/3/2004 0:00,33
25,Classic Cars,S24_3371,11/17/2004 0:00,50
48,Classic Cars,S24_3371,11/24/2004 0:00,77
44,Classic Cars,S24_3371,12/7/2004 0:00,92
21,Classic Cars,S24_3371,1/6/2005 0:00,48
46,Classic Cars,S24_3371,2/10/2005 0:00,84
46,Classic Cars,S24_3371,3/4/2005 0:00,84
55,Classic Cars,S24_3371,5/17/2005 0:00,109
