QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
43,Classic Cars,S24_2766,3/18/2003 0:00
32,Classic Cars,S24_2766,5/21/2003 0:00
21,Classic Cars,S24_2766,9/11/2003 0:00
20,Classic Cars,S24_2766,10/17/2003 0:00
22,Classic Cars,S24_2766,11/5/2003 0:00
36,Classic Cars,S24_2766,11/12/2003 0:00
46,Classic Cars,S24_2766,11/20/2003 0:00
47,Classic Cars,S24_2766,12/2/2003 0:00
45,Classic Cars,S24_2766,1/16/2004 0:00
47,Classic Cars,S24_2766,3/2/2004 0:00
47,Classic Cars,S24_2766,4/13/2004 0:00
38,Classic Cars,S24_2766,7/7/2004 0:00
49,Classic Cars,S24_2766,8/9/2004 0:00
35,Classic Cars,S24_2766,9/1/2004 0:00
49,Classic Cars,S24_2766,10/6/2003 0:00
28,Classic Cars,S24_2766,10/16/2004 0:00
30,Classic Cars,S24_2766,11/4/2004 0:00
39,Classic Cars,S24_2766,11/17/2004 0:00
25,Classic Cars,S24_2766,11/29/2004 0:00
40,Classic Cars,S24_2766,1/19/2005 0:00
36,Classic Cars,S24_2766,2/16/2005 0:00
76,Classic Cars,S24_2766,4/22/2005 0:00
39,Classic Cars,S24_2766,5/29/2005 0:00
