QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
23,Classic Cars,S18_3232,1/31/2003 0:00
46,Classic Cars,S18_3232,3/10/2003 0:00
48,Classic Cars,S18_3232,4/1/2003 0:00
25,Classic Cars,S18_3232,5/8/2003 0:00
22,Classic Cars,S18_3232,6/3/2003 0:00
41,Classic Cars,S18_3232,7/4/2003 0:00
34,Classic Cars,S18_3232,8/1/2003 0:00
32,Classic Cars,S18_3232,9/11/2003 0:00
21,Classic Cars,S18_3232,9/21/2003 0:00
20,Classic Cars,S18_3232,10/11/2003 0:00
47,Classic Cars,S18_3232,10/22/2003 0:00
39,Classic Cars,S18_3232,11/5/2003 0:00
29,Classic Cars,S18_3232,11/6/2003 0:00
45,Classic Cars,S18_3232,11/12/2003 0:00
28,Classic Cars,S18_3232,11/14/2003 0:00
26,Classic Cars,S18_3232,11/20/2003 0:00
50,Classic Cars,S18_3232,11/25/2003 0:00
48,Classic Cars,S18_3232,12/2/2003 0:00
25,Classic Cars,S18_3232,12/9/2003 0:00
40,Classic Cars,S18_3232,1/16/2004 0:00
43,Classic Cars,S18_3232,2/22/2004 0:00
22,Classic Cars,S18_3232,3/11/2004 0:00
47,Classic Cars,S18_3232,4/12/2004 0:00
36,Classic Cars,S18_3232,5/5/2004 0:00
40,Classic Cars,S18_3232,6/1/2004 0:00
27,Classic Cars,S18_3232,6/15/2004 0:00
29,Classic Cars,S18_3232,7/6/2004 0:00
20,Classic Cars,S18_3232,7/20/2004 0:00
42,Classic Cars,S18_3232,8/6/2004 0:00
25,Classic Cars,S18_3232,8/19/2004 0:00
36,Classic Cars,S18_3232,8/30/2004 0:00
21,Classic Cars,S18_3232,9/8/2004 0:00
23,Classic Cars,S18_3232,10/5/2003 0:00
37,Classic Cars,S18_3232,10/13/2004 0:00
48,Classic Cars,S18_3232,10/16/2004 0:00
25,Classic Cars,S18_3232,10/22/2004 0:00
33,Classic Cars,S18_3232,11/4/2004 0:00
27,Classic Cars,S18_3232,11/5/2004 0:00
27,Classic Cars,S18_3232,11/17/2004 0:00
20,Classic Cars,S18_3232,11/19/2004 0:00
30,Classic Cars,S18_3232,11/24/2004 0:00
48,Classic Cars,S18_3232,12/1/2004 0:00
32,Classic Cars,S18_3232,12/10/2004 0:00
34,Classic Cars,S18_3232,1/10/2005 0:00
27,Classic Cars,S18_3232,1/20/2005 0:00
39,Classic Cars,S18_3232,2/9/2005 0:00
47,Classic Cars,S18_3232,2/22/2005 0:00
22,Classic Cars,S18_3232,3/15/2005 0:00
55,Classic Cars,S18_3232,4/14/2005 0:00
60,Classic Cars,S18_3232,5/3/2005 0:00
35,Classic Cars,S18_3232,5/17/2005 0:00
28,Classic Cars,S18_3232,5/31/2005 0:00
