QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
44,Classic Cars,S24_2840,1/31/2003 0:00
24,Classic Cars,S24_2840,4/1/2003 0:00
39,Classic Cars,S24_2840,6/3/2003 0:00
21,Classic Cars,S24_2840,8/1/2003 0:00
30,Classic Cars,S24_2840,9/21/2003 0:00
27,Classic Cars,S24_2840,10/22/2003 0:00
37,Classic Cars,S24_2840,11/6/2003 0:00
42,Classic Cars,S24_2840,11/14/2003 0:00
32,Classic Cars,S24_2840,11/25/2003 0:00
42,Classic Cars,S24_2840,12/9/2003 0:00
21,Classic Cars,S24_2840,2/10/2004 0:00
33,Classic Cars,S24_2840,3/11/2004 0:00
49,Classic Cars,S24_2840,5/5/2004 0:00
31,Classic Cars,S24_2840,6/15/2004 0:00
38,Classic Cars,S24_2840,7/20/2004 0:00
20,Classic Cars,S24_2840,8/19/2004 0:00
39,Classic Cars,S24_2840,9/8/2004 0:00
48,Classic Cars,S24_2840,10/13/2004 0:00
39,Classic Cars,S24_2840,10/22/2004 0:00
30,Classic Cars,S24_2840,11/5/2004 0:00
33,Classic Cars,S24_2840,11/19/2004 0:00
36,Classic Cars,S24_2840,12/1/2004 0:00
36,Classic Cars,S24_2840,12/10/2004 0:00
45,Classic Cars,S24_2840,1/23/2005 0:00
40,Classic Cars,S24_2840,2/22/2005 0:00
46,Classic Cars,S24_2840,3/15/2005 0:00
30,Classic Cars,S24_2840,5/3/2005 0:00
31,Classic Cars,S24_2840,5/31/2005 0:00
