QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
39,Classic Cars,S12_3990,3/3/2003 0:00,150
32,Classic Cars,S12_3990,5/8/2003 0:00,111
24,Classic Cars,S12_3990,7/2/2003 0:00,79
21,Classic Cars,S12_3990,9/5/2003 0:00,55
24,Classic Cars,S12_3990,10/10/2003 0:00,34
36,Classic Cars,S12_3990,11/4/2003 0:00,55
20,Classic Cars,S12_3990,11/12/2003 0:00,39
30,Classic Cars,S12_3990,11/20/2003 0:00,55
44,Classic Cars,S12_3990,12/2/2003 0:00,71
28,Classic Cars,S12_3990,1/15/2004 0:00,60
37,Classic Cars,S12_3990,2/22/2004 0:00,77
20,Classic Cars,S12_3990,4/9/2004 0:00,40
25,Classic Cars,S12_3990,6/1/2004 0:00,60
35,Classic Cars,S12_3990,7/6/2004 0:00,74
38,Classic Cars,S12_3990,8/2/2004 0:00,39
41,Classic Cars,S12_3990,8/30/2004 0:00,51
22,Classic Cars,S12_3990,10/4/2003 0:00,50
49,Classic Cars,S12_3990,10/16/2004 0:00,95
38,Classic Cars,S12_3990,11/3/2004 0:00,46
33,Classic Cars,S12_3990,11/15/2004 0:00,46
36,Classic Cars,S12_3990,11/24/2004 0:00,52
34,Classic Cars,S12_3990,1/6/2005 0:00,51
24,Classic Cars,S12_3990,2/9/2005 0:00,52
36,Classic Cars,S12_3990,3/3/2005 0:00,78
34,Classic Cars,S12_3990,5/17/2005 0:00,42
