QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
26,Planes,S24_4278,2/17/2003 0:00
29,Planes,S24_4278,4/29/2003 0:00
46,Planes,S24_4278,6/27/2003 0:00
33,Planes,S24_4278,8/25/2003 0:00
48,Planes,S24_4278,10/28/2003 0:00
40,Planes,S24_4278,1/12/2004 0:00
23,Planes,S24_4278,2/20/2004 0:00
40,Planes,S24_4278,4/2/2004 0:00
37,Planes,S24_4278,5/11/2004 0:00
24,Planes,S24_4278,6/28/2004 0:00
27,Planes,S24_4278,7/23/2004 0:00
21,Planes,S24_4278,8/21/2004 0:00
23,Planes,S24_4278,9/16/2004 0:00
44,Planes,S24_4278,10/15/2004 0:00
35,Planes,S24_4278,11/2/2004 0:00
43,Planes,S24_4278,11/12/2004 0:00
40,Planes,S24_4278,11/24/2004 0:00
35,Planes,S24_4278,12/4/2004 0:00
25,Planes,S24_4278,12/17/2004 0:00
43,Planes,S24_4278,2/3/2005 0:00
50,Planes,S24_4278,3/1/2005 0:00
45,Planes,S24_4278,3/30/2005 0:00
52,Planes,S24_4278,4/3/2005 0:00
48,Planes,S24_4278,5/10/2005 0:00
