QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
41,Vintage Cars,S18_3856,2/17/2003 0:00
27,Vintage Cars,S18_3856,4/28/2003 0:00
33,Vintage Cars,S18_3856,6/16/2003 0:00
34,Vintage Cars,S18_3856,8/10/2003 0:00
29,Vintage Cars,S18_3856,10/6/2003 0:00
34,Vintage Cars,S18_3856,10/23/2003 0:00
48,Vintage Cars,S18_3856,11/8/2003 0:00
46,Vintage Cars,S18_3856,11/14/2003 0:00
22,Vintage Cars,S18_3856,11/26/2003 0:00
20,Vintage Cars,S18_3856,1/9/2004 0:00
45,Vintage Cars,S18_3856,2/19/2004 0:00
46,Vintage Cars,S18_3856,5/8/2004 0:00
34,Vintage Cars,S18_3856,6/24/2004 0:00
50,Vintage Cars,S18_3856,7/21/2004 0:00
46,Vintage Cars,S18_3856,8/20/2004 0:00
22,Vintage Cars,S18_3856,9/15/2004 0:00
48,Vintage Cars,S18_3856,10/14/2004 0:00
47,Vintage Cars,S18_3856,11/1/2004 0:00
34,Vintage Cars,S18_3856,11/12/2004 0:00
45,Vintage Cars,S18_3856,11/22/2004 0:00
20,Vintage Cars,S18_3856,12/3/2004 0:00
50,Vintage Cars,S18_3856,1/31/2005 0:00
22,Vintage Cars,S18_3856,3/1/2005 0:00
45,Vintage Cars,S18_3856,3/30/2005 0:00
58,Vintage Cars,S18_3856,4/1/2005 0:00
51,Vintage Cars,S18_3856,5/9/2005 0:00
