QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE
31,Classic Cars,S24_4620,3/3/2003 0:00
29,Classic Cars,S24_4620,5/8/2003 0:00
23,Classic Cars,S24_4620,7/2/2003 0:00
31,Classic Cars,S24_4620,9/5/2003 0:00
23,Classic Cars,S24_4620,10/10/2003 0:00
24,Classic Cars,S24_4620,11/4/2003 0:00
28,Classic Cars,S24_4620,11/11/2003 0:00
44,Classic Cars,S24_4620,11/20/2003 0:00
22,Classic Cars,S24_4620,1/15/2004 0:00
46,Classic Cars,S24_4620,2/22/2004 0:00
22,Classic Cars,S24_4620,4/9/2004 0:00
38,Classic Cars,S24_4620,5/26/2004 0:00
47,Classic Cars,S24_4620,6/30/2004 0:00
48,Classic Cars,S24_4620,8/2/2004 0:00
40,Classic Cars,S24_4620,8/30/2004 0:00
32,Classic Cars,S24_4620,9/30/2004 0:00
49,Classic Cars,S24_4620,10/16/2004 0:00
43,Classic Cars,S24_4620,11/3/2004 0:00
41,Classic Cars,S24_4620,11/17/2004 0:00
30,Classic Cars,S24_4620,11/24/2004 0:00
28,Classic Cars,S24_4620,12/7/2004 0:00
43,Classic Cars,S24_4620,1/6/2005 0:00
41,Classic Cars,S24_4620,2/10/2005 0:00
30,Classic Cars,S24_4620,3/4/2005 0:00
