QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
20,Motorcycles,S32_1374,2003-02-24,150
22,Motorcycles,S32_1374,2003-04-29,130
23,Motorcycles,S32_1374,2003-06-27,108
33,Motorcycles,S32_1374,2003-08-25,85
28,Motorcycles,S32_1374,2003-10-28,52
44,Motorcycles,S32_1374,2003-11-18,73
46,Motorcycles,S32_1374,2004-01-12,78
21,Motorcycles,S32_1374,2004-02-20,32
41,Motorcycles,S32_1374,2004-04-02,53
31,Motorcycles,S32_1374,2004-05-11,48
31,Motorcycles,S32_1374,2004-06-28,60
23,Motorcycles,S32_1374,2004-07-23,29
37,Motorcycles,S32_1374,2004-08-27,51
26,Motorcycles,S32_1374,2004-09-16,41
24,Motorcycles,S32_1374,2004-10-15,46
47,Motorcycles,S32_1374,2004-11-02,80
45,Motorcycles,S32_1374,2004-11-15,89
55,Motorcycles,S32_1374,2004-11-24,106
46,Motorcycles,S32_1374,2004-12-04,51
50,Motorcycles,S32_1374,2005-01-06,58
37,Motorcycles,S32_1374,2005-02-03,57
44,Motorcycles,S32_1374,2005-03-02,82
49,Motorcycles,S32_1374,2005-04-03,97
45,Motorcycles,S32_1374,2005-05-10,48
