QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
38,Classic Cars,S18_1889,2003-03-03,150
43,Classic Cars,S18_1889,2003-05-08,112
48,Classic Cars,S18_1889,2003-07-02,69
26,Classic Cars,S18_1889,2003-09-05,59
38,Classic Cars,S18_1889,2003-10-11,77
20,Classic Cars,S18_1889,2003-11-04,39
22,Classic Cars,S18_1889,2003-11-12,55
45,Classic Cars,S18_1889,2003-11-20,96
45,Classic Cars,S18_1889,2003-12-02,51
20,Classic Cars,S18_1889,2004-01-16,43
47,Classic Cars,S18_1889,2004-02-22,85
46,Classic Cars,S18_1889,2004-04-12,91
23,Classic Cars,S18_1889,2004-06-01,45
33,Classic Cars,S18_1889,2004-07-06,65
29,Classic Cars,S18_1889,2004-08-06,32
44,Classic Cars,S18_1889,2004-08-30,64
41,Classic Cars,S18_1889,2003-10-04,79
20,Classic Cars,S18_1889,2004-10-16,38
37,Classic Cars,S18_1889,2004-11-04,64
29,Classic Cars,S18_1889,2004-11-15,74
55,Classic Cars,S18_1889,2004-11-24,105
22,Classic Cars,S18_1889,2005-01-06,50
31,Classic Cars,S18_1889,2005-02-09,68
49,Classic Cars,S18_1889,2005-03-03,103
61,Classic Cars,S18_1889,2005-04-14,115
39,Classic Cars,S18_1889,2005-05-17,54
