QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
36,Trucks and Buses,S18_4600,1/29/2003 0:00,150
41,Trucks and Buses,S18_4600,4/1/2003 0:00,114
50,Trucks and Buses,S18_4600,5/28/2003 0:00,73
40,Trucks and Buses,S18_4600,7/24/2003 0:00,75
49,Trucks and Buses,S18_4600,9/19/2003 0:00,101
45,Trucks and Buses,S18_4600,10/21/2003 0:00,52
47,Trucks and Buses,S18_4600,11/6/2003 0:00,58
21,Trucks and Buses,S18_4600,11/13/2003 0:00,50
32,Trucks and Buses,S18_4600,11/25/2003 0:00,62
47,Trucks and Buses,S18_4600,12/9/2003 0:00,89
38,Trucks and Buses,S18_4600,2/4/2004 0:00,42
41,Trucks and Buses,S18_4600,3/11/2004 0:00,56
21,Trucks and Buses,S18_4600,5/4/2004 0:00,37
41,Trucks and Buses,S18_4600,6/15/2004 0:00,65
38,Trucks and Buses,S18_4600,7/19/2004 0:00,73
25,Trucks and Buses,S18_4600,8/19/2004 0:00,35
48,Trucks and Buses,S18_4600,9/8/2004 0:00,75
22,Trucks and Buses,S18_4600,10/13/2004 0:00,27
28,Trucks and Buses,S18_4600,10/22/2004 0:00,36
47,Trucks and Buses,S18_4600,11/5/2004 0:00,58
49,Trucks and Buses,S18_4600,11/19/2004 0:00,69
45,Trucks and Buses,S18_4600,11/29/2004 0:00,68
28,Trucks and Buses,S18_4600,12/10/2004 0:00,54
29,Trucks and Buses,S18_4600,1/20/2005 0:00,64
39,Trucks and Buses,S18_4600,2/17/2005 0:00,85
46,Trucks and Buses,S18_4600,5/1/2005 0:00,104
38,Trucks and Buses,S18_4600,5/31/2005 0:00,58
