QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
26,Planes,S24_4278,2/17/2003 0:00,150
29,Planes,S24_4278,4/29/2003 0:00,124
46,Planes,S24_4278,6/27/2003 0:00,95
33,Planes,S24_4278,8/25/2003 0:00,49
48,Planes,S24_4278,10/28/2003 0:00,72
40,Planes,S24_4278,1/12/2004 0:00,79
23,Planes,S24_4278,2/20/2004 0:00,39
40,Planes,S24_4278,4/2/2004 0:00,58
37,Planes,S24_4278,5/11/2004 0:00,74
24,Planes,S24_4278,6/28/2004 0:00,37
27,Planes,S24_4278,7/23/2004 0:00,41
21,Planes,S24_4278,8/21/2004 0:00,48
23,Planes,S24_4278,9/16/2004 0:00,27
44,Planes,S24_4278,10/15/2004 0:00,48
35,Planes,S24_4278,11/2/2004 0:00,42
43,Planes,S24_4278,11/12/2004 0:00,58
40,Planes,S24_4278,11/24/2004 0:00,64
35,Planes,S24_4278,12/4/2004 0:00,68
25,Planes,S24_4278,12/17/2004 0:00,33
43,Planes,S24_4278,2/3/2005 0:00,65
50,Planes,S24_4278,3/1/2005 0:00,76
45,Planes,S24_4278,3/30/2005 0:00,73
52,Planes,S24_4278,4/3/2005 0:00,93
48,Planes,S24_4278,5/10/2005 0:00,101
