QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
29,Motorcycles,S18_2625,2003-02-24 00:00:00,150
46,Motorcycles,S18_2625,2003-04-29 00:00:00,121
30,Motorcycles,S18_2625,2003-07-01 00:00:00,75
30,Motorcycles,S18_2625,2003-08-25 00:00:00,45
42,Motorcycles,S18_2625,2003-10-10 00:00:00,58
46,Motorcycles,S18_2625,2003-10-28 00:00:00,65
25,Motorcycles,S18_2625,2003-11-11 00:00:00,63
32,Motorcycles,S18_2625,2003-11-18 00:00:00,38
30,Motorcycles,S18_2625,2003-12-01 00:00:00,43
40,Motorcycles,S18_2625,2004-01-12 00:00:00,66
28,Motorcycles,S18_2625,2004-02-20 00:00:00,68
23,Motorcycles,S18_2625,2004-04-03 00:00:00,40
29,Motorcycles,S18_2625,2004-05-18 00:00:00,62
34,Motorcycles,S18_2625,2004-06-28 00:00:00,81
37,Motorcycles,S18_2625,2004-07-23 00:00:00,47
20,Motorcycles,S18_2625,2004-08-27 00:00:00,47
32,Motorcycles,S18_2625,2004-09-27 00:00:00,72
34,Motorcycles,S18_2625,2004-10-15 00:00:00,40
42,Motorcycles,S18_2625,2004-11-02 00:00:00,51
38,Motorcycles,S18_2625,2004-11-15 00:00:00,55
30,Motorcycles,S18_2625,2004-11-23 00:00:00,52
23,Motorcycles,S18_2625,2005-01-05 00:00:00,60
22,Motorcycles,S18_2625,2005-02-02 00:00:00,37
39,Motorcycles,S18_2625,2005-03-03 00:00:00,66
55,Motorcycles,S18_2625,2005-04-07 00:00:00,97
36,Motorcycles,S18_2625,2005-05-13 00:00:00,42
9,Motorcycles,S18_2625,06-12-2005 00:00:00,42
