QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
36,Planes,S18_1662,2003-02-17,150
43,Planes,S18_1662,2003-04-28,114
21,Planes,S18_1662,2003-06-16,71
32,Planes,S18_1662,2003-08-10,50
38,Planes,S18_1662,2003-10-06,75
43,Planes,S18_1662,2003-10-23,89
42,Planes,S18_1662,2003-11-08,46
32,Planes,S18_1662,2003-11-14,47
42,Planes,S18_1662,2003-11-27,74
31,Planes,S18_1662,2004-01-12,32
49,Planes,S18_1662,2004-02-19,65
45,Planes,S18_1662,2004-05-11,77
49,Planes,S18_1662,2004-06-24,98
41,Planes,S18_1662,2004-07-21,49
45,Planes,S18_1662,2004-08-21,53
36,Planes,S18_1662,2004-09-15,56
39,Planes,S18_1662,2004-10-14,65
27,Planes,S18_1662,2004-11-01,70
25,Planes,S18_1662,2004-11-10,43
41,Planes,S18_1662,2004-11-22,65
39,Planes,S18_1662,2004-12-03,65
28,Planes,S18_1662,2005-01-31,54
25,Planes,S18_1662,2005-03-01,26
33,Planes,S18_1662,2005-03-30,41
34,Planes,S18_1662,2005-04-01,47
24,Planes,S18_1662,2005-05-10,52
