QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
21,Motorcycles,S12_2823,2003-02-24 00:00:00,150
50,Motorcycles,S12_2823,2003-05-07 00:00:00,129
20,Motorcycles,S12_2823,2003-07-01 00:00:00,79
49,Motorcycles,S12_2823,2003-08-25 00:00:00,59
38,Motorcycles,S12_2823,2003-10-10 00:00:00,65
35,Motorcycles,S12_2823,2003-11-04 00:00:00,70
40,Motorcycles,S12_2823,2003-11-11 00:00:00,90
28,Motorcycles,S12_2823,2003-11-18 00:00:00,50
25,Motorcycles,S12_2823,2003-12-01 00:00:00,62
36,Motorcycles,S12_2823,2004-01-15 00:00:00,37
43,Motorcycles,S12_2823,2004-02-21 00:00:00,63
32,Motorcycles,S12_2823,2004-04-05 00:00:00,59
46,Motorcycles,S12_2823,2004-05-18 00:00:00,86
48,Motorcycles,S12_2823,2004-06-28 00:00:00,105
43,Motorcycles,S12_2823,2004-08-02 00:00:00,57
49,Motorcycles,S12_2823,2004-08-27 00:00:00,72
24,Motorcycles,S12_2823,2004-09-30 00:00:00,56
26,Motorcycles,S12_2823,2004-10-15 00:00:00,32
30,Motorcycles,S12_2823,2004-11-03 00:00:00,49
24,Motorcycles,S12_2823,2004-11-15 00:00:00,51
55,Motorcycles,S12_2823,2004-11-24 00:00:00,88
22,Motorcycles,S12_2823,2005-01-05 00:00:00,33
49,Motorcycles,S12_2823,2005-02-03 00:00:00,79
44,Motorcycles,S12_2823,2005-03-03 00:00:00,77
66,Motorcycles,S12_2823,2005-04-08 00:00:00,118
21,Motorcycles,S12_2823,2005-05-13 00:00:00,52
13,Motorcycles,S12_2823,06-12-2005 00:00:00,54
