QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
39,Classic Cars,S12_3990,2003-03-03 00:00:00,150
32,Classic Cars,S12_3990,2003-05-08 00:00:00,111
24,Classic Cars,S12_3990,2003-07-02 00:00:00,79
21,Classic Cars,S12_3990,2003-09-05 00:00:00,55
24,Classic Cars,S12_3990,2003-10-10 00:00:00,34
36,Classic Cars,S12_3990,2003-11-04 00:00:00,55
20,Classic Cars,S12_3990,2003-11-12 00:00:00,39
30,Classic Cars,S12_3990,2003-11-20 00:00:00,55
44,Classic Cars,S12_3990,2003-12-02 00:00:00,71
28,Classic Cars,S12_3990,2004-01-15 00:00:00,60
37,Classic Cars,S12_3990,2004-02-22 00:00:00,77
20,Classic Cars,S12_3990,2004-04-09 00:00:00,40
25,Classic Cars,S12_3990,2004-06-01 00:00:00,60
35,Classic Cars,S12_3990,2004-07-06 00:00:00,74
38,Classic Cars,S12_3990,2004-08-02 00:00:00,39
41,Classic Cars,S12_3990,2004-08-30 00:00:00,51
22,Classic Cars,S12_3990,2003-10-04 00:00:00,50
49,Classic Cars,S12_3990,2004-10-16 00:00:00,95
38,Classic Cars,S12_3990,2004-11-03 00:00:00,46
33,Classic Cars,S12_3990,2004-11-15 00:00:00,46
36,Classic Cars,S12_3990,2004-11-24 00:00:00,52
34,Classic Cars,S12_3990,2005-01-06 00:00:00,51
24,Classic Cars,S12_3990,2005-02-09 00:00:00,52
36,Classic Cars,S12_3990,2005-03-03 00:00:00,78
34,Classic Cars,S12_3990,2005-05-17 00:00:00,42
9,Classic Cars,S12_3990,06-16-2005 00:00:00,52
