QUANTITYORDERED,PRODUCTLINE,PRODUCTCODE,ORDERDATE,STOCK
22,Ships,S700_3962,2003-02-11 00:00:00,150
45,Ships,S700_3962,2003-04-16 00:00:00,128
30,Ships,S700_3962,2003-06-12 00:00:00,83
38,Ships,S700_3962,2003-08-08 00:00:00,53
20,Ships,S700_3962,2003-09-28 00:00:00,43
28,Ships,S700_3962,2003-10-23 00:00:00,61
24,Ships,S700_3962,2003-11-07 00:00:00,33
22,Ships,S700_3962,2003-11-14 00:00:00,39
35,Ships,S700_3962,2003-11-26 00:00:00,53
33,Ships,S700_3962,2004-01-02 00:00:00,67
31,Ships,S700_3962,2004-02-19 00:00:00,34
35,Ships,S700_3962,2004-03-20 00:00:00,52
35,Ships,S700_3962,2004-05-07 00:00:00,52
50,Ships,S700_3962,2004-06-17 00:00:00,81
26,Ships,S700_3962,2004-07-21 00:00:00,31
38,Ships,S700_3962,2004-08-20 00:00:00,54
45,Ships,S700_3962,2004-09-10 00:00:00,72
30,Ships,S700_3962,2004-10-14 00:00:00,66
37,Ships,S700_3962,2004-10-29 00:00:00,90
37,Ships,S700_3962,2004-11-10 00:00:00,53
36,Ships,S700_3962,2004-11-21 00:00:00,58
25,Ships,S700_3962,2004-12-02 00:00:00,47
37,Ships,S700_3962,2005-01-31 00:00:00,66
30,Ships,S700_3962,2005-03-01 00:00:00,65
36,Ships,S700_3962,2005-03-28 00:00:00,78
27,Ships,S700_3962,2005-05-06 00:00:00,42
18,Ships,S700_3962,2005-06-05 00:00:00,43
6,Ships,S700_3962,07-05-2005 00:00:00,49
